url_length,domain_length,path_length,query_length,num_dots,num_hyphens,num_underscores,num_slashes,num_at_symbols,num_ampersands,num_equals_signs,num_question_marks,num_special_chars,num_digits,digit_ratio,has_https,has_ip_address,num_subdomains,domain_entropy,has_suspicious_keyword,num_suspicious_keywords,has_suspicious_tld,has_phishing_extension,path_depth,has_port,url_entropy,token_count,longest_token_length,has_double_slash_redirect,has_hex_encoding,label
33,19,6,0,2,0,0,4,0,0,0,0,0,4,0.12121212121212122,1,0,1,3.471354487013929,0,0,0,0,1,0,4.173033892020166,5,11,0,0,0
106,23,75,0,4,0,0,5,0,0,0,0,0,8,0.07547169811320754,1,0,2,3.795088586397732,0,0,0,0,3,0,4.731326856697302,9,59,0,0,1
47,14,25,0,2,1,0,4,0,0,0,0,0,0,0.0,1,0,1,3.0391486719030705,0,0,0,0,2,0,4.179499692462942,7,9,0,0,0
34,25,1,0,2,1,0,3,0,0,0,0,0,6,0.17647058823529413,1,0,1,3.8634651896016474,0,0,1,0,0,0,4.138502179294739,5,6,0,0,1
311,13,17,273,16,0,3,9,0,6,7,3,6,70,0.22508038585209003,0,1,2,2.6612262562697895,1,3,0,0,1,0,5.5168498969220146,44,45,1,0,1
58,12,38,0,3,2,2,3,0,0,0,0,0,7,0.1206896551724138,1,0,1,2.584962500721156,0,0,0,0,1,0,4.530503090650141,10,7,0,0,0
55,14,33,0,2,1,0,5,0,0,0,0,0,5,0.09090909090909091,1,0,1,2.8962915290459277,1,1,0,0,3,0,4.620008750235074,8,10,0,0,0
89,43,10,0,5,1,0,3,1,0,0,0,0,24,0.2696629213483146,1,0,1,4.190929511009918,0,0,0,0,1,0,4.81984288189567,11,32,0,0,1
85,18,59,0,2,3,0,8,0,0,0,0,0,8,0.09411764705882353,1,0,1,3.4193819456463714,0,0,0,0,6,0,4.750452925658943,13,10,0,0,0
122,16,29,68,2,3,0,5,0,0,1,1,0,10,0.08196721311475409,1,0,1,3.202819531114783,1,1,0,0,3,0,5.506437186801755,14,54,0,1,1
46,20,18,0,3,0,1,4,0,0,0,0,2,0,0.0,1,0,2,3.3464393446710154,0,0,0,0,2,0,4.24684334837874,8,9,0,0,0
117,22,87,0,4,12,0,4,0,0,0,0,0,8,0.06837606837606838,1,0,2,3.572623663895164,0,0,0,0,2,0,4.490572814831994,20,9,0,0,0
175,15,108,43,2,2,0,7,0,2,3,1,2,18,0.10285714285714286,1,0,1,2.9735572622751856,1,1,0,0,5,0,5.491120116382394,19,62,0,0,1
